format	shape	lcpp_toks	source
q4km	pp512	842.00	llama-bench -r 1, lcpp 7642f1c, M1 Max, 2026-07-19, Parsec off
q4km	tg128_b1	75.29	llama-bench -r 1
q4km	tg128_b2	87.57	llama-batched-bench -npp 512 -ntg 128
q4km	tg128_b4	111.55	llama-batched-bench
q4km	tg128_b8	128.43	llama-batched-bench
q4km	tg128_b16	143.99	llama-batched-bench
q8	pp512	963.82	llama-bench -r 1
q8	tg128_b1	54.86	llama-bench -r 1
q8	tg128_b2	68.58	llama-batched-bench
q8	tg128_b4	81.45	llama-batched-bench
q8	tg128_b8	89.69	llama-batched-bench
q8	tg128_b16	93.46	llama-batched-bench
